'A'_Division_(1946/1947)
'A'_Division_(1947/1948)
'A'_Division_(1948/1949)
1+1_media
1-j_Lipowiec
1-j_Starszenskij
1-j_Ziabkin
1-j_Zielonyj_Sad
1-ja_Czapłygina
1-ja_Gostomla
1-ja_Kitajewka
1-ja_Kostornaja
1-ja_Małaja_Dołżenkowa
1-ja_Mużyca
1-ja_Pieriewierziewka
1-ja_Turka
1-je_Anpiłogowo
1-je_Banino
1-je_Biezlesnoje
1-je_Cwietowo
1-je_Gniezdiłowo
1-je_Jańkowo
1-je_Krasnikowo
1-je_Kurasowo
1-je_Malcewo
1-je_Nikolskoje
1-je_Piskłowo
1-je_Plesy
1-je_Rożdiestwienskoje
1-je_Winnikowo
1-yj_Kniażyj
1._Mikasadeild_karla_(2010/2011)
1._Mikasadeild_karla_(2011/2012)
1._deild_Wysp_Owczych_(1976)
1._deild_Wysp_Owczych_(1977)
1._deild_Wysp_Owczych_(1978)
1._deild_Wysp_Owczych_(1979)
1._deild_Wysp_Owczych_(1980)
1._deild_Wysp_Owczych_(1981)
1._deild_Wysp_Owczych_(1982)
1._deild_Wysp_Owczych_(1983)
1._deild_Wysp_Owczych_(1984)
1._deild_Wysp_Owczych_(1985)
1._deild_Wysp_Owczych_(1986)
1._deild_Wysp_Owczych_(1987)
1._deild_Wysp_Owczych_(1988)
1._deild_Wysp_Owczych_(1989)
1._deild_Wysp_Owczych_(1990)
1._deild_Wysp_Owczych_(1991)
1._deild_Wysp_Owczych_(1992)
1._deild_Wysp_Owczych_(1993)
1._deild_Wysp_Owczych_(1994)
1._deild_Wysp_Owczych_(1995)
1._deild_Wysp_Owczych_(1996)
1._deild_Wysp_Owczych_(1997)
1._deild_Wysp_Owczych_(2005)
1._deild_Wysp_Owczych_(2006)
1._deild_Wysp_Owczych_(2007)
1._deild_Wysp_Owczych_(2008)
1._deild_Wysp_Owczych_(2009)
1._deild_Wysp_Owczych_(2010)
1._deild_Wysp_Owczych_(2011)
1._deild_Wysp_Owczych_(2012)
1._deild_Wysp_Owczych_(2013)
1._deild_Wysp_Owczych_(2014)
1._deild_Wysp_Owczych_(2015)
1._deild_Wysp_Owczych_(2016)
1._deild_Wysp_Owczych_(2017)
1._deild_Wysp_Owczych_(2018)
1._deild_Wysp_Owczych_(2019)
1._deild_Wysp_Owczych_(2020)
1._deild_Wysp_Owczych_(2021)
1._deild_Wysp_Owczych_(2022)
1._deild_islandzka_w_piłce_nożnej_(1955)
1._deild_islandzka_w_piłce_nożnej_(1956)
1._deild_islandzka_w_piłce_nożnej_(1957)
1._deild_islandzka_w_piłce_nożnej_(1958)
1._deild_islandzka_w_piłce_nożnej_(1959)
1._deild_islandzka_w_piłce_nożnej_(1960)
1._deild_islandzka_w_piłce_nożnej_(1961)
1._deild_islandzka_w_piłce_nożnej_(1962)
1._deild_islandzka_w_piłce_nożnej_(1963)
1._deild_islandzka_w_piłce_nożnej_(1964)
1._deild_islandzka_w_piłce_nożnej_(1965)
1._deild_islandzka_w_piłce_nożnej_(1966)
1._deild_islandzka_w_piłce_nożnej_(1967)
1._deild_islandzka_w_piłce_nożnej_(1968)
1._deild_islandzka_w_piłce_nożnej_(1969)
1._deild_islandzka_w_piłce_nożnej_(1970)
1._deild_islandzka_w_piłce_nożnej_(1971)
1._deild_islandzka_w_piłce_nożnej_(1972)
1._deild_islandzka_w_piłce_nożnej_(1973)
1._deild_islandzka_w_piłce_nożnej_(1974)
1._deild_islandzka_w_piłce_nożnej_(1975)
1._deild_islandzka_w_piłce_nożnej_(1976)
1._deild_islandzka_w_piłce_nożnej_(1977)
1._deild_islandzka_w_piłce_nożnej_(1978)
1._deild_islandzka_w_piłce_nożnej_(1979)
1._deild_islandzka_w_piłce_nożnej_(1980)
1._deild_islandzka_w_piłce_nożnej_(1981)
1._deild_islandzka_w_piłce_nożnej_(1982)
1._deild_islandzka_w_piłce_nożnej_(1983)
1._deild_islandzka_w_piłce_nożnej_(1984)
1._deild_islandzka_w_piłce_nożnej_(1985)
1._deild_islandzka_w_piłce_nożnej_(1986)
